actual_30d_price,actual_30d_return_pct,actual_drawdown_pct,actual_max_gain_pct,actual_max_price_30d,actual_min_price_30d,asset,central_error_pct,code_version,cohort_id,cohort_manifest_sha256,current_price,directional_correct,drawdown_30d_avg,drawdown_avg_30d,drawdown_p10_pct,drawdown_p10_price,drawdown_p25_pct,drawdown_p25_price,drawdown_p50_pct,drawdown_p50_price,drawdown_p75_pct,drawdown_p75_price,drawdown_p90_pct,drawdown_p90_price,drawdown_within_p10_p90,evaluated,evaluation_date,forecast_date,forecast_id,generated_at_utc,max_gain_30d_avg,max_gain_avg_30d,max_gain_p10_pct,max_gain_p10_price,max_gain_p25_pct,max_gain_p25_price,max_gain_p50_pct,max_gain_p50_price,max_gain_p75_pct,max_gain_p75_price,max_gain_p90_pct,max_gain_p90_price,max_gain_within_p10_p90,official_daily_candidate,official_daily_version,positive_cases_30d,prediction_date,price_market_snapshot_id,raw_market_snapshot_id,return_30d_avg,return_30d_median,return_p10_pct,return_p10_price,return_p25_pct,return_p25_price,return_p50_pct,return_p50_price,return_p75_pct,return_p75_price,return_p90_pct,return_p90_price,return_within_p10_p90,risk_zone_touched,run_id,scenario_avg_30d,scenario_median_30d,schema_version,similarity_avg,upside_zone_touched,verdict,source_worktree_dirty,official_daily
,,,,,,BTC-USD,,894b093fa2388faf50cf3ad145c83c42c33a02c8-dirty:0123b57081a13a6407c1a54f1d98fd7594258877e2071362707c4ec31fcb8eb7,sha256:a07f123d5637a8d3e9c89f0da8c95a2a38d0527a40eace464f7a342d59297c8c,a07f123d5637a8d3e9c89f0da8c95a2a38d0527a40eace464f7a342d59297c8c,78947.109375,,-15.770229509231479,66496.96903565849,-33.24998486168899,52697.20745907145,-18.065808746565867,64684.67558437033,-12.624348435129367,68980.55120803732,-8.55869499504198,72190.26707619155,-3.8136864408581768,75936.31416931615,,False,,2026-09-01,run-2026-09-01T053024Z-2dbbee6990f3:BTC-USD,2026-09-01 05:30:24,22.858964788977406,96993.60130894673,1.4776583714501994,80113.67794569764,5.141904749830384,83006.49454180691,14.781637857294362,90616.78518161458,25.562709809689643,99128.12984766954,54.79143959876707,122203.3671231757,,True,2026-09-01 05:30:24,67.5,2026-09-01,sha256:48ae0e8f7846611e8ddd984ef832aeb36a4d3448e96c503f48060c7bb97c41f9,sha256:4d57db4f4f8ad50a5cfe31bf3bb5a4f8d1ee238c16ea675386b32b9b8af2f012,6.9236206449806605,3.9164004484428805,-32.483605220570034,53302.24203257337,-6.8228177320487,73560.69199762262,3.9164004484428805,82038.99432059519,20.281626301756752,94958.86707447667,40.679277762056074,111062.22328277046,,,run-2026-09-01T053024Z-2dbbee6990f3,84413.10773830296,82038.99432059519,1,82.23886015572697,,RIALZISTA,,True
,,,,,,DOGE-USD,,894b093fa2388faf50cf3ad145c83c42c33a02c8-dirty:0123b57081a13a6407c1a54f1d98fd7594258877e2071362707c4ec31fcb8eb7,sha256:9536b36d6bc0f06d013d82bbca592bbb27028689d4b430dd6de816a050f11a5e,9536b36d6bc0f06d013d82bbca592bbb27028689d4b430dd6de816a050f11a5e,0.08337999880313873,,-13.978036185696732,0.0717251123988025,-36.20284125149021,0.05319407020094398,-22.543813798598265,0.06458296712768567,-11.663402205014982,0.07365505418419198,-2.6050206133222313,0.08120793264692915,0.0,0.08337999880313873,,False,,2026-09-01,run-2026-09-01T053024Z-2dbbee6990f3:DOGE-USD,2026-09-01 05:30:24,35.41742088594475,0.11291104391394208,0.0,0.08337999880313873,5.351230855111178,0.08784185502608362,20.002009089877617,0.1000576737428824,43.032129848705196,0.11926018815595422,73.50377233452971,0.14466744329593142,,True,2026-09-01 05:30:24,35.0,2026-09-01,sha256:b1b0c114c66cf87f21ab69b77b28f53a8769388695208b80fced2dd76b84896a,sha256:883b4e8f63bf057355246f52b6fe2d9a75f9b4bfcab02b54cf3ebda2e57c51e5,7.430718926569076,-4.843704232957691,-29.619920566536184,0.05868290938927022,-18.507322237487642,0.0679485937430285,-4.843704232957691,0.07934131827167103,21.033700924910082,0.10091789838258454,48.12032745521331,0.12350272725936202,,,run-2026-09-01T053024Z-2dbbee6990f3,0.08957573215517664,0.07934131827167103,1,82.5697938491691,,NEUTRALE / INCERTO,,True
,,,,,,SOL-USD,,894b093fa2388faf50cf3ad145c83c42c33a02c8-dirty:0123b57081a13a6407c1a54f1d98fd7594258877e2071362707c4ec31fcb8eb7,sha256:b77b482cecad617719c5cdad1172f5d2b9ff9c66aec48fb4e0cd35b480653d57,b77b482cecad617719c5cdad1172f5d2b9ff9c66aec48fb4e0cd35b480653d57,103.93000030517578,,-18.18988814893537,85.02524949647612,-35.03306996669557,67.52013058187663,-21.921669461121922,81.14680916733214,-13.204291448880895,90.20678016205757,-9.063759499342472,94.51003502984875,-2.633475915753359,101.19302877789659,,False,,2026-09-01,run-2026-09-01T053024Z-2dbbee6990f3:SOL-USD,2026-09-01 05:30:24,69.07615414627813,175.72084752020632,0.5842502256295459,104.53721156645557,10.476780295567982,114.81851809833218,26.553052463924722,131.52658781196624,58.747746755569224,164.98653368752278,113.78983941520328,222.19178075665556,,True,2026-09-01 05:30:24,67.5,2026-09-01,sha256:eeb3d5aeca3ea6e95572b3aebab3f0a7122185408c833153d3229b0588850368,sha256:8b7365e10feac759d73cd38e3027fd5e615a231fa425d4b75a2abeae99ba2442,45.63036893485224,5.2653497040960895,-32.77001373011859,69.87212493545739,-8.562301975766323,95.03119983563177,5.2653497040960895,109.40227826871141,41.412893181458145,146.97042031504733,100.23827848955749,208.10764344527584,,,run-2026-09-01T053024Z-2dbbee6990f3,151.35364287842054,109.40227826871141,1,79.72768338023788,,RIALZISTA,,True
,,,,,,BTC-USD,,3003fa190fe5e93a6d92bed7b28555dce567909e,sha256:ebf47f57fa5f68856a83303bbae911a718a927c20e92be47746608d0cd675f4b,ebf47f57fa5f68856a83303bbae911a718a927c20e92be47746608d0cd675f4b,77666.9921875,,-16.618726155890123,64759.727442342795,-33.714429539269226,51482.00883117558,-19.277800819226265,62694.504131309724,-12.915032211063217,67636.27512912042,-7.910856870896888,71522.8675996162,-3.5285333019248943,74926.48650356065,,False,,2026-09-02,run-2026-09-02T053023Z-40fb6e0da484:BTC-USD,2026-09-02 05:30:23,23.89773389695141,96227.64330623478,1.7052664340563544,78991.4213356146,8.332528422470725,84138.61638640155,15.479585623407976,89689.52074428964,26.121555713582154,97954.81882282131,52.57211992523097,118498.17646263227,,True,2026-09-02 05:30:23,72.5,2026-09-02,sha256:daf347bbf60fe5e3eee178ae8ce92f6c5d961f786b2f6dcadd09452039f063bc,sha256:4619167b27a12cf3ed3415a686ebeb076c7a21dd1ab02246f9bd52232b742dc0,7.4210144128138085,7.18922029780521,-32.483605220570034,52437.95305862153,-5.369042262010373,73497.01855332083,7.18922029780521,83250.64335453855,20.281626301756752,93419.12130278337,39.29125874745092,108183.33104925312,,,run-2026-09-02T053023Z-40fb6e0da484,83430.67087173335,83250.64335453855,1,82.74170768687304,,RIALZISTA,False,True
,,,,,,DOGE-USD,,3003fa190fe5e93a6d92bed7b28555dce567909e,sha256:7cd80506870755af4de2ef119b68cac71eeadf2801159682dd9132c64a205d63,7cd80506870755af4de2ef119b68cac71eeadf2801159682dd9132c64a205d63,0.08188000321388245,,-14.022821074651683,0.07039811686728066,-29.857283035727562,0.05743285890465074,-23.001947294667858,0.06304600802975285,-10.59145021507274,0.07320772343738413,-4.750668688478942,0.07799015553907498,0.0,0.08188000321388245,,False,,2026-09-02,run-2026-09-02T053023Z-40fb6e0da484:DOGE-USD,2026-09-02 05:30:23,31.233233372003962,0.1074537757026787,0.23200406475915045,0.08206996814956359,4.802455752007695,0.08581225413797164,17.42988040584589,0.09615158985036491,33.165076927528624,0.10903556926802947,58.40174565689257,0.12969935443470954,,True,2026-09-02 05:30:23,27.500000000000004,2026-09-02,sha256:7dceed4011801da6c6732ae761670052401666ca443d93d168af6cbb39b6217a,sha256:fa0d1b92b4467040d457464645ba005ec250db3d7ac8a89c504a80d25a53d670,5.0649493792374125,-7.542550667524368,-26.817534108827598,0.0599218054236904,-18.507322237487642,0.06672620717102398,-7.542550667524368,0.07570416248490479,2.2661577749856887,0.08373553327287238,42.815706757576315,0.11693750528303241,,,run-2026-09-02T053023Z-40fb6e0da484,0.08602718392838356,0.07570416248490479,1,82.30391709500842,,NEUTRALE / INCERTO,False,True
,,,,,,SOL-USD,,3003fa190fe5e93a6d92bed7b28555dce567909e,sha256:3dae5bb184e199aa366b8f91631594e4eefa0addaa38268d466acb47479e2294,3dae5bb184e199aa366b8f91631594e4eefa0addaa38268d466acb47479e2294,100.23999786376953,,-16.684864596059008,83.51508994910715,-38.269294547135,61.878857827241745,-20.820462855681946,79.36956634200702,-12.59416192153287,87.61561022266531,-6.83048301723834,93.39312183320467,-0.5205489006361422,99.71819965689198,,False,,2026-09-02,run-2026-09-02T053023Z-40fb6e0da484:SOL-USD,2026-09-02 05:30:23,67.9177716951187,168.32077076007639,0.6116059483696447,100.85307165334994,10.46815931542574,110.7332805379283,25.7402515823563,126.04202550005238,52.07321539271113,152.43818786101926,113.78983941520328,214.30293046275605,,True,2026-09-02 05:30:23,67.5,2026-09-02,sha256:17707dd69256d3b361ddf07ec27b25377fec67801705bfcebe59d81429784a29,sha256:e87fd104434f281c6f6aa552f6b03197d3c73b71dee9ce520518cbc8d41a01fe,46.782120799267844,6.71393186042013,-30.396566171237833,69.77048058306144,-7.462562538562953,92.75952533453156,6.71393186042013,106.97004301722961,41.412893181458145,141.7522811041883,102.19741881258439,202.68268829833173,,,run-2026-09-02T053023Z-40fb6e0da484,147.1343947535817,106.97004301722961,1,80.32835799641603,,RIALZISTA,False,True
,,,,,,BTC-USD,,5326722eafd7cfc6acdc7949a0a88ab981d47cb1,sha256:081fc7a5625b3887eb45f261b196bb9c40e081e4a9be27f7b71dbfbdb4e8403d,081fc7a5625b3887eb45f261b196bb9c40e081e4a9be27f7b71dbfbdb4e8403d,77185.6796875,,-15.69437130669952,65071.872521744,-33.32302480746239,51465.07649742592,-16.050125746777518,64797.281039151334,-12.588610685455414,67469.07496671799,-7.910856870896888,71079.63104259294,-5.837920450120149,72679.64110845921,,False,,2026-09-03,run-2026-09-03T053023Z-61a82f531799:BTC-USD,2026-09-03 05:30:23,23.428610640125097,95269.2120514185,2.9950919487402716,79497.46176540077,10.685984079130485,85433.7291302749,16.03258284983996,89560.53773161052,27.749536864303625,98604.34832634612,49.06291853331649,115055.22683196474,,True,2026-09-03 05:30:23,77.5,2026-09-03,sha256:4b72d5d7ef36031d92d3c26eaa848b85ffee11c67e3a2919f22ab7ae58d4ae2b,sha256:ed6ecfb9fd7570c4da58e4f1a766d54c9b54e1688e3db9029b875be0081b60c4,7.6454325538507195,8.918374641930637,-25.70135407649056,57347.91485466977,0.5929062303548283,77643.3183913089,8.918374641930637,84069.3877719518,18.7413458487507,91651.31486344329,37.72524038869616,106304.1628952584,,,run-2026-09-03T053023Z-61a82f531799,83086.85876923907,84069.3877719518,1,83.22167346779673,,RIALZISTA,False,True
,,,,,,DOGE-USD,,5326722eafd7cfc6acdc7949a0a88ab981d47cb1,sha256:d6a1d0976c937c66aab9cdb014a3bd1a4ab58de514b0991a7daff248a9244726,d6a1d0976c937c66aab9cdb014a3bd1a4ab58de514b0991a7daff248a9244726,0.0822099968791008,,-14.7241567106913,0.07010526810676758,-31.85011557285832,0.05602601786066397,-24.65107817444124,0.06194434628122796,-11.983814478471995,0.07235810337035174,-4.412105347093346,0.07858280521095272,0.0,0.0822099968791008,,False,,2026-09-03,run-2026-09-03T053023Z-61a82f531799:DOGE-USD,2026-09-03 05:30:23,29.355882718842555,0.10634346714609376,0.0,0.0822099968791008,4.188482628649703,0.0856533483173954,15.743239399211152,0.09515251349786165,31.64187283310949,0.10822277954768915,50.84354021873113,0.12400846970614403,,True,2026-09-03 05:30:23,27.500000000000004,2026-09-03,sha256:9aa4eba5b1ddd13d90c62b2797249ef4ae46287c297cf86c5bf6286f052fd0b2,sha256:7cff1d96303dea1e7b5eb00db5c96d7d4504988f627b52a9024a83839951f5f5,2.383969215480555,-9.01049325859961,-27.31155683085304,0.05975716686082267,-21.090987472941165,0.06487109673582432,-9.01049325859961,0.07480247065241448,1.7974631816948416,0.08368769130467511,36.071418824370916,0.11186430916886352,,,run-2026-09-03T053023Z-61a82f531799,0.0841698578967461,0.07480247065241448,1,81.57851867043507,,NEUTRALE / INCERTO,False,True
,,,,,,SOL-USD,,5326722eafd7cfc6acdc7949a0a88ab981d47cb1,sha256:60d4fc2609b1bcc6c514254bd0b5158adc089e8ad62a6bd4a3c112c71824fb07,60d4fc2609b1bcc6c514254bd0b5158adc089e8ad62a6bd4a3c112c71824fb07,99.93000030517578,,-17.30118171017917,82.64092936939473,-38.269294547135,61.68749414743517,-25.915809705406563,74.03233158747422,-11.452179625548087,88.4858371704163,-7.157196070433122,92.77781425014993,-1.7522689810880072,98.17895790702703,,False,,2026-09-03,run-2026-09-03T053023Z-61a82f531799:SOL-USD,2026-09-03 05:30:23,48.17365844057961,148.06993733186133,0.8513025464099224,100.7807069424012,10.46815931542574,110.39083194102702,24.66119906753145,124.57393660861996,66.95683510606824,166.8399658310058,126.49125249781777,226.33270931226573,,True,2026-09-03 05:30:23,70.0,2026-09-03,sha256:b7b87b8c0e3b13c9a7408e5299cfe080f057e4cc8319d462e52b607152016c22,sha256:896401522112232b0d767aaae1ba4af7b0d13358bbb214248ed8d924752d8a09,23.903862919424668,12.24360012678739,-36.134320459825666,63.820973759398804,-5.118848125867833,94.81473535737457,12.24360012678739,112.16502994923891,48.725764180895375,148.62165659984376,102.19741881258439,202.05588123647314,,,run-2026-09-03T053023Z-61a82f531799,123.81713059350567,112.16502994923891,1,80.95049124270493,,RIALZISTA,False,True
,,,,,,BTC-USD,,1403a238155dc84fe2f13986c8b00f12e10f327f,sha256:58b9795e3f4dd77d0637beb6c0e86e2118a5bccf214fd049c42af1988df395af,58b9795e3f4dd77d0637beb6c0e86e2118a5bccf214fd049c42af1988df395af,80955.8828125,,-14.492895286458833,69223.03148825605,-28.51173531949602,57873.95577943863,-15.128122180722661,68708.77794814235,-12.442416313752318,70883.0148424953,-7.108776279477028,75200.91021828378,-5.014685796960045,76896.19965529794,,False,,2026-09-04,run-2026-09-04T053023Z-2ecf2558cc5e:BTC-USD,2026-09-04 05:30:23,41.79746229938789,114793.38741019132,6.917473333478355,86555.98441793668,12.29832248474797,90912.09835115592,21.088597058241277,98028.34273377014,43.27438278542114,115989.04142809821,104.37091378529566,165450.27746685935,,True,2026-09-04 05:30:23,82.5,2026-09-04,sha256:8fa8bc6c1f33f00df86a42db8ab4fc8be3ecfac73ae4af36e9532b9a8ccca164,sha256:97b759d3721a43e20735e4d6c0692f3698c02d9a34d4a6d35b2fbeed2d71c511,27.412398590213883,12.858727749371536,-14.012265189944525,69612.12982595178,2.004429623209697,82578.58650932468,12.858727749371536,91365.77938045964,31.221507228005763,106231.52961630057,68.00204897418061,136007.54189013652,,,run-2026-09-04T053023Z-2ecf2558cc5e,103147.83209128896,91365.77938045964,1,83.72469863492579,,RIALZISTA,False,True
