forecast_date,target_date_30d,generated_at_utc,asset,asset_name,current_price,direction,positive_rate,negative_rate,signal_strength,return_p10_price,return_p10_pct,return_p25_price,return_p25_pct,return_p50_price,return_p50_pct,return_p75_price,return_p75_pct,return_p90_price,return_p90_pct,drawdown_p10_price,drawdown_p10_pct,drawdown_p25_price,drawdown_p25_pct,drawdown_p50_price,drawdown_p50_pct,drawdown_p75_price,drawdown_p75_pct,drawdown_p90_price,drawdown_p90_pct,max_gain_p10_price,max_gain_p10_pct,max_gain_p25_price,max_gain_p25_pct,max_gain_p50_price,max_gain_p50_pct,max_gain_p75_price,max_gain_p75_pct,max_gain_p90_price,max_gain_p90_pct
2026-07-13,2026-08-12,2026-07-13 06:25:05 UTC,BTC,Bitcoin,62681.78,SALITA,70.0,30.0,forte,50624.84,-19.24,60170.1,-4.01,67851.87,8.25,75078.83,19.78,87726.25,39.95,47284.07,-24.56,55303.69,-11.77,59777.26,-4.63,,,,,,,,,72306.43,15.35,79171.64,26.31,96237.25,53.53
2026-07-13,2026-08-12,2026-07-13 06:25:05 UTC,DOGE,Dogecoin,0.07,DISCESA,17.5,82.5,forte,0.05,-30.03,0.05,-25.34,0.06,-19.69,0.07,-6.59,0.08,7.92,0.04,-43.1,0.05,-34.27,0.05,-26.99,,,,,,,,,0.08,4.92,0.08,15.2,0.09,26.69
2026-07-13,2026-08-12,2026-07-13 06:25:05 UTC,SOL,Solana,76.29,DISCESA,35.0,65.0,medio,58.88,-22.83,66.61,-12.69,74.3,-2.61,79.02,3.58,98.31,28.87,56.98,-25.31,59.84,-21.56,67.07,-12.08,,,,,,,,,82.25,7.81,88.12,15.5,110.6,44.97
2026-07-14,2026-08-13,2026-07-14 21:53:58 UTC,BTC,Bitcoin,64604.31,SALITA,65.0,35.0,medio,49136.98,-23.94,59834.5,-7.38,69335.56,7.32,77176.55,19.46,89910.33,39.17,46701.33,-27.71,56486.65,-12.57,61029.65,-5.53,,,,,,,,,72370.12,12.02,81442.16,26.06,97882.62,51.51
2026-07-14,2026-08-13,2026-07-14 21:53:58 UTC,DOGE,Dogecoin,0.07,DISCESA,22.5,77.5,forte,0.05,-32.34,0.06,-24.86,0.06,-16.61,0.07,-5.0,0.09,18.27,0.04,-42.15,0.05,-33.13,0.06,-25.86,,,,,,,,,0.08,3.22,0.09,15.2,0.09,25.51
2026-07-14,2026-08-13,2026-07-14 21:53:58 UTC,SOL,Solana,77.17,INCERTO,45.0,55.0,molto debole / quasi pari,62.18,-19.43,67.0,-13.18,76.03,-1.48,85.22,10.43,99.45,28.87,55.63,-27.92,62.06,-19.58,69.46,-9.99,,,,,,,,,83.22,7.83,92.74,20.18,111.88,44.97
2026-07-15,2026-08-14,2026-07-15 07:23:25 UTC,BTC,Bitcoin,64595.85,SALITA,65.0,35.0,medio,49184.59,-23.86,59072.38,-8.55,69423.59,7.47,75323.47,16.61,84959.5,31.52,47818.34,-25.97,55971.08,-13.35,59239.49,-8.29,,,,,,,,,72150.68,11.7,77327.85,19.71,93451.86,44.67
2026-07-15,2026-08-14,2026-07-15 07:23:25 UTC,DOGE,Dogecoin,0.07,DISCESA,20.0,80.0,forte,0.05,-32.53,0.06,-24.96,0.06,-16.61,0.07,-7.35,0.08,7.89,0.04,-44.62,0.05,-33.13,0.05,-26.76,,,,,,,,,0.08,3.22,0.08,13.62,0.09,25.28
2026-07-15,2026-08-14,2026-07-15 07:23:25 UTC,SOL,Solana,77.68,INCERTO,55.0,45.0,molto debole / quasi pari,63.28,-18.54,69.97,-9.93,79.41,2.23,91.34,17.58,100.1,28.87,59.18,-23.82,64.32,-17.2,71.34,-8.17,,,,,,,,,84.14,8.31,95.54,23.0,112.62,44.97
2026-07-16,2026-08-15,2026-07-16 15:02:01 UTC,BTC,Bitcoin,64443.67,INCERTO,55.0,45.0,molto debole / quasi pari,49237.09,-23.6,54416.7,-15.56,66378.43,3.0,74102.92,14.99,81595.44,26.62,46585.21,-27.71,53901.99,-16.36,58689.11,-8.93,,,,,,,,,71362.19,10.74,75647.03,17.38,84551.97,31.2
