forecast_date,generated_at_utc,sol_last_candle,sol_price,btc_scaled_today,gap_pct,sol_day_from_bottom,btc_equiv_date,verdict,phase,total_similarity_pct,reliability,phase_risk,trend_tracking,program_start_date,pre_period_dates,pre_days,pre_price_adherence_pct,pre_avg_error_pct,pre_last_error_pct,pre_status,live_period_dates,live_days,live_price_adherence_pct,live_avg_error_pct,live_last_error_pct,live_status,total_period_dates,total_days,total_price_adherence_pct,total_avg_error_pct,total_last_error_pct,total_status,tracker_days_from_bottom,tracker_days_from_program,tracker_avg_error_from_bottom_pct,tracker_avg_error_last_7d_pct,tracker_avg_error_from_program_pct,tracker_last_error_pct,tracker_status,first_confirmation,second_confirmation,soft_invalidation,hard_invalidation,target_cycle_base_from_bottom,target_cycle_base_from_today,max_path_base,max_path_beta,next_step_text,proj_7d_date,proj_7d_base,proj_7d_min,proj_7d_max,proj_14d_date,proj_14d_base,proj_14d_min,proj_14d_max,proj_30d_date,proj_30d_base,proj_30d_min,proj_30d_max,proj_60d_date,proj_60d_base,proj_60d_min,proj_60d_max,proj_90d_date,proj_90d_base,proj_90d_min,proj_90d_max,proj_120d_date,proj_120d_base,proj_120d_min,proj_120d_max
2026-07-08,2026-07-08 23:37 UTC,8 luglio 2026,77.45,66.17,17.04700015112588,32.0,2022-12-23,PARZIALMENTE SI,FASE ANTICIPATA,73.94,MEDIA,MEDIO / ALTO,FRATTALE STABILE,2026-07-03,6 giugno 2026 -> 2 luglio 2026,27.0,87.95,6.02,21.89,ABBASTANZA ALLINEATO,3 luglio 2026 -> 8 luglio 2026,6.0,54.89,22.55,17.05,STACCATO / MOLTO IN ANTICIPO,6 giugno 2026 -> 8 luglio 2026,33.0,81.94,9.03,17.05,ABBASTANZA ALLINEATO,33.0,6.0,9.03,22.46,22.55,17.05,SOL IN ANTICIPO / SOPRA IL FRACTAL,105.03,114.49,73.58,62.19,491.43,575.23,575.23,2376.0,"Prossimo step previsto dal frattale: Laterale / movimento non forte. Zona bassa stimata: 76,30 $ intorno al 16 luglio 2026. Zona alta stimata: 78,16 $ intorno al 22 luglio 2026. Fine step: circa 78,16 $ entro il 22 luglio 2026.",15 luglio 2026,76.55,76.32,78.02,22 luglio 2026,78.16,76.3,78.16,7 agosto 2026,104.76,76.3,105.03,6 settembre 2026,112.67,76.3,114.49,6 ottobre 2026,130.65,76.3,130.65,5 novembre 2026,128.27,76.3,140.57
2026-07-09,2026-07-09 23:44 UTC,9 luglio 2026,77.99,66.37,17.50791020039173,33.0,2022-12-24,PARZIALMENTE SI,FASE ANTICIPATA,73.76,MEDIA,MEDIO / ALTO,FRATTALE STABILE,2026-07-03,6 giugno 2026 -> 2 luglio 2026,27.0,87.95,6.02,21.89,ABBASTANZA ALLINEATO,3 luglio 2026 -> 9 luglio 2026,7.0,56.19,21.91,17.51,STACCATO / MOLTO IN ANTICIPO,6 giugno 2026 -> 9 luglio 2026,34.0,81.41,9.29,17.51,ABBASTANZA ALLINEATO,34.0,7.0,9.29,21.91,21.91,17.51,DEVIAZIONE MODERATA,106.17,114.94,74.09,62.19,491.43,577.49,577.49,2330.0,"Prossimo step previsto dal frattale: Laterale / movimento non forte. Zona bassa stimata: 76,60 $ intorno al 16 luglio 2026. Zona alta stimata: 78,49 $ intorno al 23 luglio 2026. Fine step: circa 78,49 $ entro il 23 luglio 2026.",16 luglio 2026,76.6,76.6,78.32,23 luglio 2026,78.49,76.6,78.49,8 agosto 2026,106.17,76.6,106.17,7 settembre 2026,111.97,76.6,114.94,7 ottobre 2026,127.27,76.6,131.16,6 novembre 2026,127.72,76.6,141.12
2026-07-13,2026-07-13 06:28 UTC,13 luglio 2026,76.29,65.20512820512822,17.0,,2022-12-28,ANALOGIA DEBOLE / SCENARIO SECONDARIO,FRATTALE SOLO DI CONTESTO,64.96,BASSA,ALTO,STRUTTURA STABILE,3 luglio 2026,6 giugno 2026 -> 2 luglio 2026,27.0,87.95,6.02,21.89,ABBASTANZA ALLINEATO,3 luglio 2026 -> 13 luglio 2026,11.0,59.98,20.01,17.0,STACCATO / NON ADERENTE,6 giugno 2026 -> 13 luglio 2026,38.0,79.85,10.07,17.0,DEVIAZIONE MODERATA,,,,,,,,82.66,114.44,72.48,62.19,,574.98,574.98,,"Proiezione condizionale, non conferma operativa: Spinta rialzista abbastanza pulita. Zona bassa 76,27 $ intorno al 16 luglio 2026; zona alta 82,66 $ intorno al 27 luglio 2026; fine step circa 82,66 $ entro il 27 luglio 2026.",20 luglio 2026,77.72,76.27,77.72,27 luglio 2026,82.66,76.27,82.66,12 agosto 2026,106.37,76.27,106.55,11 settembre 2026,108.59,76.27,114.44,11 ottobre 2026,125.68,76.27,130.59,10 novembre 2026,135.84,76.27,140.51
2026-07-14,2026-07-14 21:57 UTC,14 luglio 2026,77.17,65.55942570724662,17.71,,2022-12-29,ANALOGIA DEBOLE / SCENARIO SECONDARIO,FRATTALE SOLO DI CONTESTO,64.99,BASSA,ALTO,STRUTTURA STABILE,3 luglio 2026,6 giugno 2026 -> 2 luglio 2026,27.0,87.95,6.02,21.89,ABBASTANZA ALLINEATO,3 luglio 2026 -> 14 luglio 2026,12.0,60.73,19.64,17.71,STACCATO / NON ADERENTE,6 giugno 2026 -> 14 luglio 2026,39.0,79.58,10.21,17.71,DEVIAZIONE MODERATA,,,,,,,,87.5,115.13,73.31,62.19,,578.47,578.47,,"Proiezione condizionale, non conferma operativa: Spinta rialzista abbastanza pulita. Zona bassa 76,73 $ intorno al 16 luglio 2026; zona alta 87,50 $ intorno al 28 luglio 2026; fine step circa 87,50 $ entro il 28 luglio 2026.",21 luglio 2026,78.07,76.73,78.19,28 luglio 2026,87.5,76.73,87.5,13 agosto 2026,106.79,76.73,107.2,12 settembre 2026,109.07,76.73,115.13,12 ottobre 2026,131.45,76.73,131.45,11 novembre 2026,136.05,76.73,141.36
2026-07-15,2026-07-15 07:27 UTC,15 luglio 2026,77.68,65.40372147848784,18.77,,2022-12-30,ANALOGIA DEBOLE / SCENARIO SECONDARIO,FRATTALE SOLO DI CONTESTO,64.49,BASSA,ALTO,STRUTTURA STABILE,3 luglio 2026,6 giugno 2026 -> 2 luglio 2026,27.0,87.95,6.02,21.89,ABBASTANZA ALLINEATO,3 luglio 2026 -> 15 luglio 2026,13.0,60.72,19.64,18.77,STACCATO / NON ADERENTE,6 giugno 2026 -> 15 luglio 2026,40.0,79.1,10.45,18.77,DEVIAZIONE MODERATA,,,,,,,,93.15,116.17,73.8,62.19,,583.69,583.69,,"Proiezione condizionale, non conferma operativa: Spinta rialzista abbastanza pulita. Zona bassa 77,42 $ intorno al 16 luglio 2026; zona alta 93,15 $ intorno al 29 luglio 2026; fine step circa 93,15 $ entro il 29 luglio 2026.",22 luglio 2026,79.31,77.42,79.31,29 luglio 2026,93.15,77.42,93.15,14 agosto 2026,111.24,77.42,111.24,13 settembre 2026,108.3,77.42,116.17,13 ottobre 2026,131.16,77.42,132.64,12 novembre 2026,136.85,77.42,142.64
2026-07-16,2026-07-16 15:06 UTC,16 luglio 2026,76.3,65.1858180264844,17.05,,2022-12-31,ANALOGIA DEBOLE / SCENARIO SECONDARIO,FRATTALE SOLO DI CONTESTO,64.24,BASSA,ALTO,STRUTTURA STABILE,3 luglio 2026,6 giugno 2026 -> 2 luglio 2026,27.0,87.95,6.02,21.89,ABBASTANZA ALLINEATO,3 luglio 2026 -> 16 luglio 2026,14.0,61.18,19.41,17.05,STACCATO / NON ADERENTE,6 giugno 2026 -> 16 luglio 2026,41.0,78.81,10.59,17.05,DEVIAZIONE MODERATA,,,,,,,,96.72,114.49,72.49,62.19,,575.23,575.23,,"Proiezione condizionale, non conferma operativa: Spinta rialzista abbastanza pulita. Zona bassa 76,30 $ intorno al 16 luglio 2026; zona alta 96,72 $ intorno al 30 luglio 2026; fine step circa 96,72 $ entro il 30 luglio 2026.",23 luglio 2026,78.18,76.3,78.18,30 luglio 2026,96.72,76.3,96.72,15 agosto 2026,105.32,76.3,109.62,14 settembre 2026,109.03,76.3,114.49,14 ottobre 2026,131.31,76.3,131.31,13 novembre 2026,134.96,76.3,140.57
2026-07-17,2026-07-17 07:33 UTC,17 luglio 2026,74.46,65.4881266490765,13.7,,2023-01-01,ANALOGIA DEBOLE / SCENARIO SECONDARIO,FRATTALE SOLO DI CONTESTO,64.41,BASSA,ALTO,STRUTTURA STABILE,3 luglio 2026,6 giugno 2026 -> 2 luglio 2026,27.0,87.95,6.02,21.89,ABBASTANZA ALLINEATO,3 luglio 2026 -> 17 luglio 2026,15.0,62.15,18.92,13.7,STACCATO / NON ADERENTE,6 giugno 2026 -> 17 luglio 2026,42.0,78.74,10.63,13.7,DEVIAZIONE MODERATA,,,,,,,,93.95,111.2,70.74,62.19,,558.74,558.74,,"Proiezione condizionale, non conferma operativa: Spinta rialzista abbastanza pulita. Zona bassa 74,46 $ intorno al 17 luglio 2026; zona alta 93,95 $ intorno al 30 luglio 2026; fine step circa 93,52 $ entro il 31 luglio 2026.",24 luglio 2026,76.55,74.46,76.55,31 luglio 2026,93.52,74.46,93.95,16 agosto 2026,103.64,74.46,106.48,15 settembre 2026,105.14,74.46,111.2,15 ottobre 2026,127.25,74.46,127.55,14 novembre 2026,125.82,74.46,136.54
2026-07-18,2026-07-18 05:14 UTC,18 luglio 2026,74.93,65.73960343919987,13.98,,2023-01-02,ANALOGIA DEBOLE / SCENARIO SECONDARIO,FRATTALE SOLO DI CONTESTO,64.35,BASSA,ALTO,STRUTTURA STABILE,3 luglio 2026,6 giugno 2026 -> 2 luglio 2026,27.0,87.95,6.02,21.89,ABBASTANZA ALLINEATO,3 luglio 2026 -> 18 luglio 2026,16.0,62.62,18.69,13.98,STACCATO / NON ADERENTE,6 giugno 2026 -> 18 luglio 2026,43.0,78.52,10.74,13.98,DEVIAZIONE MODERATA,,,,,,,,95.05,111.48,71.18,62.19,,560.13,560.13,,"Proiezione condizionale, non conferma operativa: Spinta rialzista abbastanza pulita. Zona bassa 74,89 $ intorno al 19 luglio 2026; zona alta 95,05 $ intorno al 1 agosto 2026; fine step circa 95,05 $ entro il 1 agosto 2026.",25 luglio 2026,77.21,74.89,77.21,1 agosto 2026,95.05,74.89,95.05,17 agosto 2026,106.52,74.89,106.75,16 settembre 2026,100.41,74.89,111.48,16 ottobre 2026,126.61,74.89,127.87,15 novembre 2026,128.77,74.89,136.88
2026-07-19,2026-07-19 05:14 UTC,19 luglio 2026,76.0,65.70415838160284,15.67,,2023-01-03,ANALOGIA DEBOLE / SCENARIO SECONDARIO,FRATTALE SOLO DI CONTESTO,64.25,BASSA,ALTO,STRUTTURA STABILE,3 luglio 2026,6 giugno 2026 -> 2 luglio 2026,27.0,87.95,6.02,21.89,ABBASTANZA ALLINEATO,3 luglio 2026 -> 19 luglio 2026,17.0,63.01,18.5,15.67,STACCATO / NON ADERENTE,6 giugno 2026 -> 19 luglio 2026,44.0,78.31,10.84,15.67,DEVIAZIONE MODERATA,,,,,,,,96.46,113.13,72.2,62.19,,568.42,568.42,,"Proiezione condizionale, non conferma operativa: Spinta rialzista abbastanza pulita. Zona bassa 76,00 $ intorno al 19 luglio 2026; zona alta 96,46 $ intorno al 1 agosto 2026; fine step circa 96,42 $ entro il 2 agosto 2026.",26 luglio 2026,79.49,76.0,79.49,2 agosto 2026,96.42,76.0,96.46,18 agosto 2026,106.95,76.0,108.33,17 settembre 2026,101.85,76.0,113.13,17 ottobre 2026,126.62,76.0,129.76,16 novembre 2026,132.16,76.0,138.9
2026-07-20,2026-07-20 05:14 UTC,20 luglio 2026,75.92,66.42750896841369,14.29,,2023-01-04,ANALOGIA DEBOLE / SCENARIO SECONDARIO,FRATTALE SOLO DI CONTESTO,64.38,BASSA,ALTO,STRUTTURA STABILE,3 luglio 2026,6 giugno 2026 -> 2 luglio 2026,27.0,87.95,6.02,21.89,ABBASTANZA ALLINEATO,3 luglio 2026 -> 20 luglio 2026,18.0,63.49,18.26,14.29,STACCATO / NON ADERENTE,6 giugno 2026 -> 20 luglio 2026,45.0,78.17,10.92,14.29,DEVIAZIONE MODERATA,,,,,,,,95.31,111.78,72.12,62.19,,561.65,561.65,,"Proiezione condizionale, non conferma operativa: Spinta rialzista abbastanza pulita. Zona bassa 75,80 $ intorno al 21 luglio 2026; zona alta 95,31 $ intorno al 1 agosto 2026; fine step circa 93,14 $ entro il 3 agosto 2026.",27 luglio 2026,80.74,75.8,80.74,3 agosto 2026,93.14,75.8,95.31,19 agosto 2026,105.57,75.8,107.04,18 settembre 2026,101.01,75.8,111.78,18 ottobre 2026,126.82,75.8,128.21,17 novembre 2026,129.88,75.8,137.25
