generated_utc,regime,regime_family,confidence_pct,volatility_state,btc_timeframe_minutes,btc_trend_score,btc_adx,btc_atr_pct,btc_volatility_ratio,btc_return_24h_pct,breadth_above_ema20_pct,breadth_above_ema50_pct,breadth_above_ema200_pct,breadth_breakout_up_pct,breadth_breakout_down_pct,alt_relative_median_pct,alt_outperform_share_pct,alt_underperform_share_pct,cross_asset_dispersion_pct,assets_used,reason
2026-07-12T21:36:55+00:00,RANGE_LOW_VOL,RANGE,70.8,LOW,240,3.0,15.43,0.8828,0.7089,-0.2874,58.333,50.0,41.667,0.0,0.0,-0.6304,18.182,45.455,15.895,12,"Direzione poco definita: score BTC +3.0, breadth EMA50 50%, ADX 15.4."
2026-07-12T22:26:46+00:00,RANGE,RANGE,78.8,NORMAL,240,3.0,15.43,0.8828,0.7089,-0.6782,33.333,41.667,41.667,0.0,0.0,-0.7454,18.182,45.455,15.644,12,"Direzione poco definita: score BTC +3.0, breadth EMA50 42%, ADX 15.4."
2026-07-12T23:30:42+00:00,RANGE,RANGE,86.8,NORMAL,240,3.0,15.43,0.8828,0.7089,-0.4802,16.667,33.333,41.667,0.0,25.0,-0.9763,18.182,45.455,14.8457,12,"Direzione poco definita: score BTC +3.0, breadth EMA50 33%, ADX 15.4."
2026-07-13T01:07:30+00:00,ALT_ROTATION_UP,ALT_ROTATION,74.7,NORMAL,240,1.0,15.024,0.8904,0.72,0.3911,66.667,58.333,41.667,0.0,0.0,1.4828,54.545,9.091,57.7263,12,"Le altcoin stanno sovraperformando BTC: mediana relativa +1.48%, 55% oltre +1%."
2026-07-13T04:49:50+00:00,RANGE_HIGH_VOL,RANGE,87.6,HIGH,240,0.0,16.435,1.0327,0.8404,-2.1984,8.333,16.667,25.0,0.0,50.0,0.6591,45.455,18.182,6.8917,12,"Direzione poco definita: score BTC +0.0, breadth EMA50 17%, ADX 16.4."
2026-07-13T07:47:50+00:00,RANGE_HIGH_VOL,RANGE,87.6,HIGH,240,0.0,16.435,1.0327,0.8404,-1.5077,0.0,0.0,25.0,0.0,16.667,0.2485,27.273,36.364,8.7486,12,"Direzione poco definita: score BTC +0.0, breadth EMA50 0%, ADX 16.4."
2026-07-13T08:02:20+00:00,RANGE,RANGE,80.4,NORMAL,240,0.0,18.078,1.0249,0.8415,-1.3989,0.0,8.333,33.333,0.0,8.333,0.3245,27.273,27.273,10.5848,12,"Direzione poco definita: score BTC +0.0, breadth EMA50 8%, ADX 18.1."
2026-07-13T10:15:52+00:00,RANGE,RANGE,80.4,NORMAL,240,0.0,18.078,1.0249,0.8415,-1.3531,8.333,8.333,33.333,0.0,0.0,-0.1364,27.273,36.364,17.7014,12,"Direzione poco definita: score BTC +0.0, breadth EMA50 8%, ADX 18.1."
2026-07-13T11:23:07+00:00,RANGE,RANGE,80.4,NORMAL,240,0.0,18.078,1.0249,0.8415,-1.5842,8.333,8.333,25.0,0.0,8.333,0.3138,27.273,27.273,19.9952,12,"Direzione poco definita: score BTC +0.0, breadth EMA50 8%, ADX 18.1."
2026-07-13T13:40:25+00:00,RANGE,RANGE,80.4,NORMAL,240,0.0,19.03,1.0028,0.8337,-2.2116,8.333,8.333,25.0,0.0,25.0,0.1096,9.091,36.364,17.4698,12,"Direzione poco definita: score BTC +0.0, breadth EMA50 8%, ADX 19.0."
