signal_date,asset,price,raw_score,candidate_global_score,global_score,global_activation_status,bias,confidence,data_coverage,exchange_count,bullish_consensus_count,bearish_consensus_count,divergent_metric_count,funding_rate_pct,basis_pct,price_change_24h_pct,open_interest_usd_combined,oi_change_4h_pct,oi_change_24h_pct,global_long_short_ratio,top_position_long_short_ratio,taker_buy_sell_ratio_4h,taker_buy_sell_ratio_24h,orderbook_imbalance_0_5pct,orderbook_imbalance_1_0pct,intraday_samples_24h,intraday_span_4h_hours,intraday_span_24h_hours,intraday_span_hours,intraday_taker_ratio_avg_4h,intraday_taker_ratio_avg_24h,intraday_book_imbalance_avg_4h,intraday_book_imbalance_avg_24h,intraday_funding_avg_24h,intraday_oi_change_4h_pct,intraday_oi_change_24h_pct,intraday_price_change_4h_pct,intraday_price_change_24h_pct,intraday_long_liquidation_usd_observed_24h,intraday_short_liquidation_usd_observed_24h,intraday_liquidation_events_observed_24h,long_liquidation_usd_sample,short_liquidation_usd_sample,liquidation_events_sample,scanner_positive_rate_30d,scanner_return_p50_30d,overlay_status,overlay_weight,adjusted_positive_rate_30d,adjusted_return_p50_30d,module_version,calibration_eligible,calibration_note,created_utc,target_date_1d,checked_1d,actual_date_1d,actual_price_1d,return_1d,drawdown_1d,max_gain_1d,target_date_3d,checked_3d,actual_date_3d,actual_price_3d,return_3d,drawdown_3d,max_gain_3d,target_date_7d,checked_7d,actual_date_7d,actual_price_7d,return_7d,drawdown_7d,max_gain_7d,target_date_14d,checked_14d,actual_date_14d,actual_price_14d,return_14d,drawdown_14d,max_gain_14d,target_date_30d,checked_30d,actual_date_30d,actual_price_30d,return_30d,drawdown_30d,max_gain_30d
2026-07-11,BTC,64152.134999999995,-1.5,0,0,LOCKED / RACCOLTA 7G,LEGGERMENTE NEGATIVA / NON PESATA,BASSA,0.29411764705882354,1,0,0,0,-0.001,-0.01455703669854813,0.22999999999999998,1863417158.28125,-0.026195221505687094,1.7164414892924196,,,0.05850572783882044,,0.028436978902559074,0.018133251024716315,,,,,,,,,,,,,,,,,0.0,0.0,0,77.5,9.006845251392114,RACCOLTA DATI,0.0,77.5,9.006845251392114,TRANSITION_PRE_V2.1.3,False,Esclusa: fotografia raccolta prima/durante il completamento della configurazione primaria Kraken + Bitget + KuCoin V2.1.3.,2026-07-11T03:03:12+00:00,2026-07-12,True,2026-07-12,63814.8984375,-0.5256825240500529,-0.8134384381751181,0.45723488002387125,2026-07-14,True,2026-07-14,62546.921875,-2.5021975106518157,-3.714817909022039,0.45723488002387125,2026-07-18,True,2026-07-18,63883.7109375,-0.4184179723714543,-3.714817909022039,2.1128817458686333,2026-07-25,True,2026-07-25,64087.94921875,-0.10005244759195842,-3.714817909022039,4.29904242469874,2026-08-10,True,2026-08-10,64966.078125,1.268770127447838,-3.714817909022039,4.29904242469874
2026-07-11,DOGE,0.074225,1.375,0,0,LOCKED / RACCOLTA 7G,LEGGERMENTE POSITIVA / NON PESATA,BASSA,0.29411764705882354,1,0,0,0,0.0024000000000000002,-0.05385754678873811,0.21,97181671.04100001,-4.168168061740641,-7.6762981428607935,,,1.1414563836247114,,0.04976433519245147,0.023206056666296035,,,,,,,,,,,,,,,,,0.0,0.0,0,15.0,-22.365648695786994,RACCOLTA DATI,0.0,15.0,-22.365648695786994,TRANSITION_PRE_V2.1.3,False,Esclusa: fotografia raccolta prima/durante il completamento della configurazione primaria Kraken + Bitget + KuCoin V2.1.3.,2026-07-11T03:03:12+00:00,2026-07-12,True,2026-07-12,0.07282999902963638,-1.8794219876909657,-2.4240646991877446,1.6692526615922798,2026-07-14,True,2026-07-14,0.07204999774694443,-2.9302825908461783,-4.379926172720938,1.6692526615922798,2026-07-18,True,2026-07-18,0.0723700001835823,-2.4991577183128277,-4.379926172720938,1.6692526615922798,2026-07-25,True,2026-07-25,0.06949000060558319,-6.379251457617796,-7.368138487710818,1.6692526615922798,2026-08-10,True,2026-08-10,0.06975000351667404,-6.0289612439554885,-8.423034299218967,1.6692526615922798
2026-07-11,SOL,77.767,-3.0,0,0,LOCKED / RACCOLTA 7G,LEGGERMENTE NEGATIVA / NON PESATA,BASSA,0.29411764705882354,1,0,0,0,0.0073,-0.048839421124335924,-1.6199999999999999,341836888.5944,-0.18764168157220373,17.814469638293517,,,0.41435053613481826,,-0.0971885314273313,-0.014767934688437312,,,,,,,,,,,,,,,,,0.0,0.0,0,40.0,-1.6983503519222063,RACCOLTA DATI,0.0,40.0,-1.6983503519222063,TRANSITION_PRE_V2.1.3,False,Esclusa: fotografia raccolta prima/durante il completamento della configurazione primaria Kraken + Bitget + KuCoin V2.1.3.,2026-07-11T03:03:12+00:00,2026-07-12,True,2026-07-12,76.44999694824219,-1.6935243120575705,-2.4274833088896552,1.2210227144868746,2026-07-14,True,2026-07-14,74.91999816894531,-3.660938227081778,-4.635923578079182,1.2210227144868746,2026-07-18,True,2026-07-18,74.93000030517578,-3.6480765553823846,-4.635923578079182,1.4277807091968242,2026-07-25,True,2026-07-25,74.16999816894531,-4.625357582335288,-5.613312521423164,1.4277807091968242,2026-08-10,True,2026-08-10,76.61000061035156,-1.4877768071912656,-9.094842456070696,1.4277807091968242
2026-07-12,BTC,63743.5,1.375,0,0,LOCKED / RACCOLTA 7G,LEGGERMENTE POSITIVA / NON PESATA,BASSA,1.0,3,1,0,0,0.004341707213781394,-0.025427673821814836,-0.7,4191357702.984349,,,,,1.8197680034978323,,-0.06532973971605113,,,,,,,,,,,,,,,,,,0.0,0.0,0,70.0,8.433050782845996,RACCOLTA DATI,0.0,70.0,8.433050782845996,V2.1.3,True,,2026-07-12T07:40:20+00:00,2026-07-13,True,2026-07-13,62758.48828125,-1.5452739789154957,-1.8071695545428201,0.7978815977315312,2026-07-15,True,2026-07-15,64531.3984375,1.236045145779574,-3.0975707327021595,2.2579140422160693,2026-07-19,True,2026-07-19,64741.5,1.5656498309631672,-3.0975707327021595,2.7674880576058714,2026-07-26,True,2026-07-26,64454.23046875,1.1149850082753598,-3.0975707327021595,4.967663369598463,2026-08-11,,,,,,
2026-07-12,DOGE,0.07276,1.375,0,0,LOCKED / RACCOLTA 7G,LEGGERMENTE POSITIVA / NON PESATA,BASSA,1.0,3,1,0,1,0.005515301981905062,-0.04895233200557925,-2.3200000000000003,182873849.26474708,,,,,1.8169547859989639,,-0.07675743248091366,,,,,,,,,,,,,,,,,,0.0,0.0,0,17.5,-19.69088154256313,RACCOLTA DATI,0.0,17.5,-19.69088154256313,V2.1.3,True,,2026-07-12T07:40:20+00:00,2026-07-13,True,2026-07-13,0.0722000002861023,-0.7696532626411678,-1.262532311392861,1.445614472400214,2026-07-15,True,2026-07-15,0.07395999878644943,1.649256166093216,-2.454645686781365,3.422209677819432,2026-07-19,True,2026-07-19,0.07242999970912933,-0.4535463041103194,-2.454645686781365,3.422209677819432,2026-07-26,True,2026-07-26,0.07346999645233154,0.9758060092517118,-6.139365341586034,3.422209677819432,2026-08-11,,,,,,
2026-07-12,SOL,76.16715778161,0.0,0,0,LOCKED / RACCOLTA 7G,MISTA / NEUTRALE,BASSA,1.0,3,1,1,0,0.002016907731572223,-0.051007631948875365,-2.41,641376484.8746119,,,,,3.3109819321466105,,-0.21299739068167986,,,,,,,,,,,,,,,,,,0.0,0.0,0,37.5,-2.60984715256975,RACCOLTA DATI,0.0,37.5,-2.60984715256975,V2.1.3,True,,2026-07-12T07:40:20+00:00,2026-07-13,True,2026-07-13,76.36000061035156,0.25318370063707185,-0.6809687014053711,2.3193673456221475,2026-07-15,True,2026-07-15,77.52999877929688,1.7892764248791826,-2.6328624160097402,3.0214040108800244,2026-07-19,True,2026-07-19,76.04000091552734,-0.1669444807790299,-3.6307807862207775,3.558206084414839,2026-07-26,True,2026-07-26,75.08999633789062,-1.4142072188224053,-3.6307807862207775,3.558206084414839,2026-08-11,,,,,,
2026-07-13,BTC,62838.58,1.375,0,0,LOCKED / RACCOLTA 7G,LEGGERMENTE POSITIVA / NON PESATA,BASSA,1.0,3,1,0,0,0.006413235756369072,-0.00818912987010633,-2.09,4152791967.0255356,,,,,2.1403236835513377,,-0.06303112410157263,,,,,,,,,,,,,,,,,,0.0,0.0,0,70.0,8.248151669061986,RACCOLTA DATI,0.0,70.0,8.248151669061986,V2.1.3,True,,2026-07-13T06:28:43+00:00,2026-07-14,True,2026-07-14,62546.921875,-0.4641386310766493,-1.7021072086606748,2.3907332286948524,2026-07-16,True,2026-07-16,64033.6484375,1.9018068796271326,-1.7021072086606748,4.2474125767959725,2026-07-20,True,2026-07-20,64184.01171875,2.141091855910804,-1.7021072086606748,4.2474125767959725,2026-07-27,True,2026-07-27,65320.21875,3.9492279265381125,-1.7021072086606748,6.479271969544831,2026-08-12,,,,,,
2026-07-13,DOGE,0.07198,1.75,0,0,LOCKED / RACCOLTA 7G,LEGGERMENTE POSITIVA / NON PESATA,BASSA,1.0,3,1,0,0,0.0024129860516519104,-0.06928095080559317,-1.85,181864924.89321113,,,,,1.8633010906625298,,-0.03326710524259927,,,,,,,,,,,,,,,,,,0.0,0.0,0,17.5,-19.69088154256313,RACCOLTA DATI,0.0,17.5,-19.69088154256313,V2.1.3,True,,2026-07-13T06:28:43+00:00,2026-07-14,True,2026-07-14,0.07204999774694443,0.09724610578552007,-1.3976107275661565,2.7396455444405943,2026-07-16,True,2026-07-16,0.07304000109434128,1.4726328068092265,-1.3976107275661565,4.5429282600464305,2026-07-20,True,2026-07-20,0.07180999964475632,-0.2361772092854708,-1.3976107275661565,4.5429282600464305,2026-07-27,True,2026-07-27,0.07287000119686127,1.236456233483274,-5.1222592699888825,4.5429282600464305,2026-08-12,,,,,,
2026-07-13,SOL,75.842,1.5,0,0,LOCKED / RACCOLTA 7G,LEGGERMENTE POSITIVA / NON PESATA,BASSA,1.0,3,1,1,0,0.0006477526531443935,-0.048456944921911486,-1.4649999999999999,629314541.1127665,,,,,1.08679978625529,,-0.07854222039598319,,,,,,,,,,,,,,,,,,0.0,0.0,0,35.0,-2.60984715256975,RACCOLTA DATI,0.0,35.0,-2.60984715256975,V2.1.3,True,,2026-07-13T06:28:43+00:00,2026-07-14,True,2026-07-14,74.91999816894531,-1.215687654669817,-2.2154198056022256,2.873083150687661,2026-07-16,True,2026-07-16,75.98999786376953,0.19513971647573403,-2.2154198056022256,4.002191693416712,2026-07-20,True,2026-07-20,75.98999786376953,0.19513971647573403,-3.217616556176206,4.002191693416712,2026-07-27,True,2026-07-27,76.38999938964844,0.7225539801804182,-3.217616556176206,4.002191693416712,2026-08-12,,,,,,
2026-07-14,BTC,62725.4,-1.25,0,0,LOCKED / RACCOLTA 7G,LEGGERMENTE NEGATIVA / NON PESATA,BASSA,1.0,3,0,1,1,0.009594062505561309,-0.024076747557871613,-0.1,4568043773.05382,,,,,0.4658388093577523,,-0.023915215910880343,,,,,,,,,,,,,,,,,,0.0,0.0,0,67.5,8.05348457004109,RACCOLTA DATI,0.0,67.5,8.05348457004109,V2.1.3,True,,2026-07-14T07:23:14+00:00,2026-07-15,True,2026-07-15,64531.3984375,2.8792139029802932,-0.8256249661221737,3.91766881917055,2026-07-17,True,2026-07-17,63651.6796875,1.4767218503190183,-0.8256249661221737,4.435513763164511,2026-07-21,True,2026-07-21,65474.578125,4.38287858666504,-0.8256249661221737,4.639814473084258,2026-07-28,True,2026-07-28,63381.1484375,1.0454272710895385,-0.8256249661221737,6.671400262094784,2026-08-13,,,,,,
2026-07-14,DOGE,0.07231,1.75,0,0,LOCKED / RACCOLTA 7G,LEGGERMENTE POSITIVA / NON PESATA,BASSA,1.0,3,1,2,0,0.009950189977744493,-0.04092603567166912,0.21,196589069.13488483,,,,,1.2421564817982829,,-0.031416668278455934,,,,,,,,,,,,,,,,,,0.0,0.0,0,17.5,-18.99600054451733,RACCOLTA DATI,0.0,17.5,-18.99600054451733,V2.1.3,True,,2026-07-14T07:23:14+00:00,2026-07-15,True,2026-07-15,0.07395999878644943,2.28184039060908,-1.2543261257251248,4.065827356633145,2026-07-17,True,2026-07-17,0.07221999764442444,-0.12446737045437306,-1.2543261257251248,4.065827356633145,2026-07-21,True,2026-07-21,0.07281000167131424,0.6914696049152846,-1.7106857789105145,4.065827356633145,2026-07-28,True,2026-07-28,0.0699400007724762,-3.277553903365793,-5.555251310383069,4.065827356633145,2026-08-13,,,,,,
2026-07-14,SOL,75.248,1.25,0,0,LOCKED / RACCOLTA 7G,LEGGERMENTE POSITIVA / NON PESATA,BASSA,1.0,3,1,0,1,0.0005006426595612231,-0.050966878776962043,-1.475,646014435.3166139,,,,,4.049414922094045,,0.007736441193398395,,,,,,,,,,,,,,,,,,0.0,0.0,0,45.0,-0.858361902326471,RACCOLTA DATI,0.0,45.0,-0.858361902326471,V2.1.3,True,,2026-07-14T07:23:14+00:00,2026-07-15,True,2026-07-15,77.52999877929688,3.0326371189890455,-0.9264192250645453,4.279815200134052,2026-07-17,True,2026-07-17,75.1500015258789,-0.13023399176204098,-0.9264192250645453,4.823174335691438,2026-07-21,True,2026-07-21,78.2300033569336,3.9629004849744742,-2.4536263402816783,4.823174335691438,2026-07-28,True,2026-07-28,73.26000213623047,-2.6419278436231375,-3.029379580037639,4.823174335691438,2026-08-13,,,,,,
2026-07-15,BTC,65105.03528317459,-1.5,0,0,LOCKED / RACCOLTA 7G,LEGGERMENTE NEGATIVA / NON PESATA,BASSA,1.0,3,0,1,1,0.00906612010459383,-0.0034364835519533217,3.79,4249189957.6770744,,,,,0.20191447951054417,,0.04361178619574316,,,,,,,,,,,,,,,,,,0.0,0.0,0,65.0,7.473761261747558,RACCOLTA DATI,0.0,65.0,7.473761261747558,V2.1.3,True,,2026-07-15T07:27:11+00:00,2026-07-16,True,2026-07-16,64033.6484375,-1.6456282390672095,-1.8522174827639404,0.6183215554288246,2026-07-18,True,2026-07-18,63883.7109375,-1.8759291664038558,-2.155333438606144,0.6183215554288246,2026-07-22,True,2026-07-22,66233.6875,1.7335866756178486,-4.017480593932721,2.4263014334524824,2026-07-29,True,2026-07-29,63911.19921875,-1.8337077297201354,-4.017480593932721,2.7724848146912784,2026-08-14,,,,,,
2026-07-15,DOGE,0.07474,0.0,0,0,LOCKED / RACCOLTA 7G,MISTA / NEUTRALE,BASSA,1.0,3,1,2,0,0.010036068705711247,-0.044229351771096034,3.3549999999999995,202274362.28415152,,,,,2.3461460531001546,,-0.1118756728500579,,,,,,,,,,,,,,,,,,0.0,0.0,0,20.0,-16.612602618160004,RACCOLTA DATI,0.0,20.0,-16.612602618160004,V2.1.3,True,,2026-07-15T07:27:11+00:00,2026-07-16,True,2026-07-16,0.07304000109434128,-2.274550315304691,-2.748689952622707,0.5512473574927457,2026-07-18,True,2026-07-18,0.0723700001835823,-3.170992529325256,-3.4626657132768135,0.5512473574927457,2026-07-22,True,2026-07-22,0.07317999750375748,-2.0872390905037785,-4.906337820083218,0.5512473574927457,2026-07-29,True,2026-07-29,0.07061000168323517,-5.525820600434617,-8.625906104546422,0.5512473574927457,2026-08-14,,,,,,
2026-07-15,SOL,78.381,-1.375,0,0,LOCKED / RACCOLTA 7G,LEGGERMENTE NEGATIVA / NON PESATA,BASSA,1.0,3,1,1,0,0.00682301396805698,-0.04700390066337389,4.305,580393032.8344924,,,,,0.1560828479430521,,0.023765047399254398,,,,,,,,,,,,,,,,,,0.0,0.0,0,55.00000000000001,2.226868420335704,RACCOLTA DATI,0.0,55.00000000000001,2.226868420335704,V2.1.3,True,,2026-07-15T07:27:11+00:00,2026-07-16,True,2026-07-16,75.98999786376953,-3.0504868989046696,-3.3218827452453747,0.6332430360943331,2026-07-18,True,2026-07-18,74.93000030517578,-4.402852342818053,-4.329168010388562,0.6332430360943331,2026-07-22,True,2026-07-22,77.81999969482422,-0.7157350699477982,-6.352693571828826,0.6332430360943331,2026-07-29,True,2026-07-29,73.47000122070312,-6.265547491479917,-7.030667300016303,0.6332430360943331,2026-08-14,,,,,,
