forecast_date,target_horizon_days,target_date,spot_at_forecast,p10,p25,p50,p75,p90,p_ge_200,p_ge_300,p_ge_500,p_ge_800,cohort_sha256
2026-09-03,90,2026-12-02,104.47000122070312,73.38900942775426,103.22210995056545,137.4792252260173,232.51218062139526,261.03191979874657,32.142857142857146,7.142857142857142,3.571428571428571,3.571428571428571,74f21845f0a8a142103bf11de56501a7cd32a6bd5f50112c5511752ca087134b
2026-09-03,180,2027-03-02,104.47000122070312,69.39243375925678,93.80625729743784,132.44976973401714,193.51926861957935,321.8240677719759,25.0,14.285714285714285,0.0,0.0,74f21845f0a8a142103bf11de56501a7cd32a6bd5f50112c5511752ca087134b
2026-09-03,365,2027-09-03,104.47000122070312,62.0101510725421,86.74349181224943,125.4054656594951,212.3820871907045,421.0951985103858,28.57142857142857,17.857142857142858,10.714285714285714,3.571428571428571,74f21845f0a8a142103bf11de56501a7cd32a6bd5f50112c5511752ca087134b
2026-09-03,730,2028-09-02,104.47000122070312,43.64089299146719,60.07314210725196,137.32796353099747,347.753316254734,1642.9005975249477,37.03703703703704,25.925925925925924,22.22222222222222,22.22222222222222,74f21845f0a8a142103bf11de56501a7cd32a6bd5f50112c5511752ca087134b
2026-09-04,90,2026-12-03,103.72000122070312,66.92553950777894,94.5063230305446,143.71625001592807,210.9556635674242,320.25129062200233,29.629629629629626,11.11111111111111,3.7037037037037033,3.7037037037037033,65ee65428fbca868eee3d33e301676dc615da3dad74cf4373eecfb66aed22821
2026-09-04,180,2027-03-03,103.72000122070312,77.49986436503774,94.43805006725036,133.94475600553028,190.30065166491127,309.6020830358323,22.22222222222222,11.11111111111111,0.0,0.0,65ee65428fbca868eee3d33e301676dc615da3dad74cf4373eecfb66aed22821
2026-09-04,365,2027-09-04,103.72000122070312,53.86566880780693,80.81853413964502,139.6338999192953,236.78005753252307,578.1942411702449,29.629629629629626,18.51851851851852,14.814814814814813,3.7037037037037033,65ee65428fbca868eee3d33e301676dc615da3dad74cf4373eecfb66aed22821
2026-09-04,730,2028-09-03,103.72000122070312,46.19612267956707,65.60929833758117,111.2864450127587,282.88820730511225,922.7064746768764,32.0,24.0,16.0,16.0,65ee65428fbca868eee3d33e301676dc615da3dad74cf4373eecfb66aed22821
2026-09-05,90,2026-12-04,102.58999633789062,56.228169266496565,90.62973023181523,127.9983176482836,197.43965249178422,410.41680149298213,25.0,14.285714285714285,7.142857142857142,3.571428571428571,cdbc0493ae766a59efb741d3f541b0a871809c4de533e0bc50dc8992b3bb528e
2026-09-05,180,2027-03-04,102.58999633789062,53.588906711088185,89.0159875304812,131.60616178782843,223.1293877035554,251.3572700389213,28.57142857142857,7.142857142857142,0.0,0.0,cdbc0493ae766a59efb741d3f541b0a871809c4de533e0bc50dc8992b3bb528e
2026-09-05,365,2027-09-05,102.58999633789062,45.53100760216394,86.48321502344983,150.66235386910705,249.8649798975488,572.619451264206,35.714285714285715,17.857142857142858,14.285714285714285,7.142857142857142,cdbc0493ae766a59efb741d3f541b0a871809c4de533e0bc50dc8992b3bb528e
